As,Cr,Cu,Hg,Mo,Ni,Pb,Zn,Type
1.425515074,4.025351691,2.397895273,2.302585093,0.029558802,1.791759469,2.013568798,3.784189634,1
1.756132292,4.204692619,2.564949357,2.302585093,0.019802627,2.079441542,1.935859813,3.737669618,1
2.395164274,3.583518938,2.833213344,2.302585093,2.144761008,3.17805383,3.207612633,4.976733742,1
2.296567021,4.418840608,3.044522438,2.302585093,0.113328685,2.708050201,2.1690537,4.077537444,1
1.987874348,4.49980967,4.077537444,2.302585093,0.751416089,2.63905733,3.620065138,4.204692619,1
1.806648082,4.356708827,2.302585093,2.302585093,0.536493371,2.197224577,2.406945108,3.828641396,1
1.873339456,4.158883083,2.772588722,2.302585093,0.019802627,2.397895273,2.660259537,3.850147602,1
2.179286877,4.615120517,3.091042453,2.302585093,0.858661619,1.945910149,3.886500048,3.63758616,1
2.254444718,4.976733742,3.044522438,2.302585093,0.609765572,3.091042453,3.116178427,4.787491743,1
3.252310601,4.532599493,3.663561646,2.302585093,1.313723668,3.737669618,2.426571073,3.970291914,1
2.017566138,5.509388337,2.302585093,2.302585093,1.043804052,2.48490665,2.107786015,3.295836866,1
2.714694744,5.056245805,3.218875825,2.302585093,1.650579856,3.663561646,3.213260086,5.049856007,1
2.624668592,5.236441963,2.890371758,2.302585093,0.712949808,2.995732274,2.898670561,4.356708827,1
2.765689981,4.406719247,2.944438979,6.063785209,1.128171091,3.044522438,2.973997781,4.158883083,2
2.538447417,4.663439094,3.044522438,5.991464547,0.392042088,3.555348061,3.307619035,4.86753445,2
3.517497837,4.49980967,4.043051268,5.828945618,1.211940974,3.784189634,2.91993056,4.356708827,2
2.69934576,4.304065093,4.110873864,5.857933154,0.444685821,3.583518938,2.936512914,4.290459441,2
3.201526187,4.454347296,3.663561646,5.703782475,1.08180517,3.761200116,3.324316337,4.48863637,2
2.041220329,4.912654886,3.17805383,5.634789603,0.657520003,2.833213344,2.61958322,4.007333185,2
3.165475048,4.248495242,3.688879454,5.703782475,0.966983846,3.80666249,2.892591515,4.33073334,2
2.032087845,4.836281907,2.397895273,5.634789603,0.920282753,3.044522438,2.779440197,4.418840608,2
3.362456553,4.465908119,3.688879454,4.86753445,1.184789985,3.80666249,3.032546247,4.418840608,1
1.785070481,4.564348191,4.060443011,3.401197382,0.783901544,3.583518938,2.196112848,4.17438727,1
2.509599262,5.288267031,2.772588722,2.302585093,1.903598951,3.258096538,2.91939104,3.583518938,1
3.421979921,3.951243719,3.555348061,2.302585093,1.026041596,3.891820298,3.225652809,4.553876892,1
3.303584553,4.394449155,3.912023005,2.302585093,1.160020917,3.80666249,3.042138646,4.553876892,1
3.50013733,4.406719247,3.555348061,2.302585093,0.698134722,3.80666249,3.409496184,4.672828834,1
2.345644582,4.584967479,3.218875825,2.302585093,1.153731588,3.044522438,2.992226134,4.584967479,1
-0.634878272,5.627621114,2.995732274,2.302585093,1.057790294,2.995732274,1.935859813,3.401197382,1
3.117949906,4.48863637,3.33220451,2.302585093,1.121677562,3.784189634,3.158701102,4.442651256,1
0.947789399,5.247024072,2.197224577,2.302585093,0.779324877,2.397895273,2.163323026,3.295836866,1
1.255616037,5.036952602,1.791759469,2.302585093,1.578978705,2.833213344,2.458733775,3.688879454,1
3.758871826,5.010635294,3.784189634,5.298317367,1.986503546,3.891820298,4.450152464,6.118097198,1
2.265921109,4.682131227,3.295836866,3.688879454,0.819779831,2.833213344,2.57184858,3.737669618,1
1.677096561,4.477336814,3.17805383,2.995732274,0.425267735,2.890371758,2.795450391,3.850147602,2
2.129421474,4.060443011,2.708050201,2.995732274,0.862889955,2.708050201,2.31944221,3.912023005,1
0.536493371,4.290459441,1.791759469,3.401197382,-0.174353387,1.386294361,2.210469804,3.496507561,1
2.272125886,3.912023005,2.708050201,2.302585093,0.207014169,2.48490665,2.135349174,3.828641396,1
2.520917087,3.610917913,3.091042453,2.995732274,0.553885113,2.48490665,2.558002205,4.043051268,1
2.000127735,3.36729583,2.890371758,2.995732274,0.418710335,2.772588722,2.52332576,3.663561646,1
0.300104592,4.605170186,1.945910149,2.302585093,1.095273387,2.302585093,1.791759469,3.496507561,1
3.06712227,3.33220451,3.33220451,3.688879454,0.029558802,2.708050201,2.944965157,4.276666119,1
1.591273942,4.17438727,2.48490665,2.995732274,0.75612198,2.079441542,2.301584593,3.850147602,1
2.590017134,3.970291914,2.995732274,2.302585093,0.932164081,2.833213344,2.535282857,4.110873864,1
2.90416508,3.951243719,2.708050201,2.302585093,0.076961041,1.791759469,2.109000344,3.555348061,1
3.773450356,3.784189634,3.044522438,2.302585093,0.770108222,2.833213344,2.935982269,4.304065093,1
2.363680192,3.850147602,3.044522438,2.995732274,0.148420005,2.397895273,2.432735777,3.80666249,1
3.403195384,4.060443011,3.17805383,2.995732274,0.262364264,2.564949357,2.789937361,3.988984047,1
3.257327011,4.110873864,3.761200116,2.302585093,0.688134639,3.465735903,2.042518188,3.688879454,1
3.568687269,3.891820298,3.36729583,2.302585093,-0.010050336,2.302585093,2.823757009,3.891820298,1
2.893699548,3.784189634,2.944438979,2.302585093,-0.328504067,3.295836866,1.91102289,3.663561646,1
3.22246936,3.988984047,2.890371758,3.401197382,0.570979547,2.995732274,2.466403178,3.526360525,1
3.398861322,3.295836866,3.583518938,2.995732274,0.231111721,3.63758616,4.565909472,6.054439346,1
3.0194488,3.295836866,2.995732274,2.302585093,-0.186329578,1.791759469,2.784393768,3.970291914,1
2.57184858,3.583518938,3.091042453,2.995732274,0.2390169,2.48490665,2.570319528,4.060443011,1
3.669696635,3.970291914,3.218875825,2.302585093,0.039220713,2.302585093,2.885359216,3.871201011,1
2.921547375,3.891820298,2.772588722,2.302585093,0.371563556,3.401197382,1.880990603,3.688879454,1
2.850706502,4.077537444,4.007333185,2.302585093,0.086177696,3.044522438,3.163363115,4.248495242,1
1.913977102,4.248495242,4.564348191,2.302585093,0,3.433987204,3.801314883,5.049856007,1
2.786245049,4.465908119,3.218875825,2.302585093,0.797507196,2.708050201,2.586259144,4.219507705,1
2.338917022,4.442651256,5.087596335,2.302585093,0.322083499,4.007333185,3.666378189,4.795790546,1
2.568788134,4.025351691,4.234106505,2.302585093,0.693147181,3.33220451,3.428812549,4.532599493,1
2.633326655,3.784189634,3.218875825,2.302585093,0.717839793,2.197224577,3.869741613,4.143134726,1
3.759803792,3.912023005,4.553876892,2.302585093,1.261297871,3.828641396,3.999850716,5.117993812,1
3.18428438,4.007333185,4.430816799,2.302585093,0.819779831,3.737669618,3.415428964,4.770684624,1
2.64900766,4.382026635,4.96284463,2.302585093,1.121677562,4.043051268,3.790984677,4.96284463,1
3.362109993,3.80666249,4.418840608,2.302585093,0.470003629,3.713572067,3.788045826,5.283203729,1
3.449034711,3.555348061,4.430816799,2.302585093,0.593326845,3.688879454,4.574504772,5.713732806,1
3.251536607,4.127134385,4.406719247,2.302585093,1.085189268,4.007333185,3.197447877,4.644390899,1
3.553632305,4.110873864,3.091042453,2.302585093,1.047318994,2.772588722,2.969901514,4.060443011,1
1.785070481,4.110873864,4.369447852,2.302585093,-0.030459207,3.258096538,3.632838063,4.820281566,1
2.938103161,3.80666249,3.091042453,2.302585093,0.936093359,2.708050201,2.786245049,3.970291914,1
2.888703701,4.204692619,3.218875825,2.302585093,1.134622726,2.833213344,2.92905814,3.988984047,1
3.556204837,4.094344562,3.401197382,4.094344562,1.029619417,2.833213344,2.979602892,4.025351691,1
3.08236858,3.80666249,3.36729583,2.995732274,0.262364264,2.708050201,2.748552144,4.143134726,1
3.371081758,4.912654886,3.295836866,2.302585093,1.026041596,2.944438979,3.020424886,4.304065093,1
3.207612633,3.80666249,3.091042453,3.401197382,0.418710335,2.63905733,2.893699548,4.025351691,1
3.319263999,3.218875825,4.356708827,2.995732274,2.644755351,4.189654742,3.726175239,5.342334252,1
2.979094632,4.442651256,4.859812404,2.302585093,1.615419984,4.077537444,3.650658241,5.062595033,1
3.657130756,4.356708827,4.553876892,2.302585093,1.675225653,4.919980926,3.098288862,6.240275845,1
2.194999882,4.382026635,2.397895273,2.302585093,0.524728529,2.079441542,2.646174797,3.80666249,1
3.285412349,4.394449155,2.63905733,2.995732274,1.153731588,1.945910149,2.749192144,3.258096538,1
3.537475,4.276666119,2.833213344,2.302585093,0.698134722,1.098612289,2.941276088,3.258096538,1
2.775085602,4.234106505,2.197224577,2.302585093,0.887891257,1.609437912,2.118662255,2.890371758,1
2.915606229,3.583518938,2.397895273,2.302585093,-0.020202707,0.693147181,1.916922612,2.833213344,1
2.192770227,3.218875825,2.397895273,2.302585093,-0.127833372,1.098612289,2.851284369,3.091042453,1
2.305580602,3.784189634,2.48490665,5.634789603,0.19062036,1.791759469,2.731766728,3.465735903,1
2.405141681,4.465908119,2.397895273,5.135798437,0.476234179,1.945910149,2.190535589,3.496507561,1
1.340250423,3.891820298,2.397895273,4.605170186,0.113328685,1.609437912,2.552565298,3.295836866,1
3.001217204,3.33220451,2.48490665,2.302585093,0.598836501,1.945910149,2.761274962,3.610917913,1
2.436241478,4.369447852,2.564949357,5.521460918,0.292669614,1.945910149,1.835776355,3.465735903,1
2.765060456,3.135494216,2.708050201,2.302585093,-0.051293294,0,2.2782924,2.833213344,1
3.340030946,3.36729583,2.772588722,2.302585093,0.542324291,1.098612289,3.136797714,3.295836866,1
1.873339456,3.044522438,2.197224577,2.302585093,-0.415515444,0,2.165619238,2.944438979,1
2.696652156,3.610917913,2.63905733,3.688879454,0.223143551,2.079441542,2.119863456,3.688879454,1
3.770229,3.433987204,2.772588722,2.302585093,0.647103242,1.098612289,2.49732917,2.772588722,1
3.017982882,4.564348191,2.564949357,2.302585093,0.364643114,2.48490665,3.00914196,4.110873864,1
2.713369363,3.737669618,2.48490665,5.736572297,0.3074847,1.945910149,2.568021556,3.713572067,1
1.393766376,3.931825633,2.302585093,4.700480366,0.385262401,1.791759469,1.713797928,3.526360525,1
3.711130063,4.094344562,3.33220451,3.688879454,0.58221562,2.772588722,3.119718253,4.394449155,1
1.803358605,4.043051268,2.302585093,3.401197382,0.086177696,1.386294361,1.45395301,3.36729583,1
2.879198457,4.430816799,3.091042453,4.86753445,0.652325186,2.772588722,2.980618636,4.127134385,1
2.442347035,4.17438727,2.302585093,4.605170186,0.254642218,1.945910149,2.442347035,3.465735903,1
2.397895273,4.204692619,2.708050201,4.700480366,1.098612289,2.708050201,3.36729583,4.430816799,1
3.605497845,4.762173935,4.262679877,4.49980967,1.919859472,3.951243719,3.713572067,5.062595033,1
1.667706821,3.496507561,2.197224577,2.995732274,-0.198450939,1.609437912,2.251291799,3.737669618,1
0.78845736,4.394449155,2.48490665,4.248495242,0.336472237,2.302585093,2.370243741,3.850147602,1
1.510721939,4.882801923,2.197224577,5.799092654,0.722705983,1.386294361,2.407845604,3.295836866,1
2.170195905,4.59511985,2.995732274,3.688879454,1.337629189,2.63905733,2.951780386,4.043051268,2
1.486139696,4.828313737,2.397895273,3.401197382,0.78845736,1.945910149,2.426571073,3.688879454,2
1.930071085,5.147494477,2.197224577,2.302585093,1.864080131,2.564949357,2.294552921,3.401197382,1
2.145931283,4.955827058,2.48490665,2.302585093,0.75612198,1.945910149,2.296567021,3.555348061,1
2.009555414,4.844187086,2.397895273,2.302585093,1.504077397,2.48490665,2.49732917,3.465735903,2
2.276241118,4.882801923,2.302585093,2.302585093,0.518793793,1.791759469,2.519308077,3.36729583,1
1.202972304,4.787491743,2.079441542,2.302585093,1.490654376,2.48490665,2.23644529,3.044522438,1
2.377692565,4.644390899,2.48490665,2.302585093,0.444685821,1.791759469,2.354228326,3.465735903,1
1.58514522,4.574710979,2.564949357,2.302585093,1.430311247,2.302585093,2.3896798,3.583518938,1
1.945910149,2.302585093,3.169685581,4.382026635,-0.446287103,2.990719732,2.928523524,4.248495242,1
2.397895273,2.564949357,3.975936331,4.941642423,0.21511138,2.541601993,3.234749174,4.382026635,1
3.610917913,2.197224577,2.533696814,4.248495242,-0.261364764,2.58021683,2.753660712,4.025351691,2
2.079441542,2.197224577,3.015534901,3.912023005,-0.634878272,2.93385687,2.687847494,3.850147602,2
2.564949357,1.945910149,3.314186005,4.094344562,-0.94160854,1.791759469,1.62924054,3.555348061,1
3.80666249,2.397895273,3.61361697,4.86753445,-0.46203546,2.32238772,2.379546134,4.454347296,1
2.302585093,2.944438979,3.903990834,4.248495242,0.425267735,2.815408719,2.341805806,4.356708827,1
2.995732274,3.295836866,3.813307032,4.382026635,0.139761942,3.335769576,2.917770732,4.795790546,1
2.48490665,3.33220451,2.660259537,3.688879454,-0.616186139,3.0301337,1.722766598,3.737669618,1
2.564949357,2.833213344,3.18221184,3.912023005,1.249901736,3.068052935,2.980618636,4.532599493,1
2.079441542,2.197224577,2.646174797,2.995732274,-0.597837001,1.916922612,1.62924054,3.688879454,1
2.63905733,2.833213344,3.173878459,4.248495242,0.90016135,3.010620886,2.90690106,4.521788577,1
2.890371758,2.63905733,2.646174797,4.49980967,-0.544727175,2.646174797,2.890371758,4.158883083,1
2.708050201,2.890371758,2.351375257,4.787491743,-0.116533816,2.87356464,3.100092289,4.343805422,1
3.526360525,3.63758616,3.77505715,3.912023005,0.329303747,3.303216973,4.321480135,5.620400866,1
2.708050201,2.197224577,2.890371758,4.49980967,0.148420005,2.451005098,3.144152279,4.189654742,2
3.465735903,2.302585093,2.302585093,4.49980967,-0.446287103,2.653241965,2.791165108,4.007333185,1
2.564949357,2.302585093,3.56671182,4.094344562,0.300104592,2.332143895,1.931521412,4.007333185,1
2.63905733,2.772588722,3.374168709,4.382026635,0.418710335,2.980618636,2.867898902,4.430816799,1
2.63905733,2.564949357,2.509599262,4.094344562,-0.174353387,2.740840024,2.879198457,4.553876892,1
3.555348061,3.17805383,3.706228092,3.912023005,0.850150929,3.60004824,3.75419892,4.941642423,1
2.63905733,2.48490665,3.540959324,4.248495242,1.057790294,3.321432413,2.541601993,3.871201011,1
2.48490665,2.708050201,2.884800713,3.688879454,-0.634878272,2.525728644,2.595254707,4.007333185,1
3.433987204,3.912023005,3.975936331,3.912023005,0.207014169,3.218875825,3.19047635,5.517452896,1
3.295836866,3.218875825,3.841600541,5.010635294,0.048790164,3.784189634,3.465735903,5.049856007,1
3.17805383,2.708050201,3.505557397,3.688879454,0.604315967,3.104586678,2.701361213,4.189654742,1
2.708050201,3.135494216,3.0301337,5.247024072,-0.356674944,2.778819272,2.714694744,4.043051268,1
2.079441542,2.890371758,3.005682604,3.912023005,-0.274436846,2.721295428,2.587764035,3.871201011,1
2.48490665,2.48490665,2.63188884,3.401197382,-0.891598119,2.351375257,2.442347035,3.912023005,1
3.044522438,3.218875825,3.339321978,4.787491743,0.828551818,3.269568939,2.674148649,4.219507705,1
3.555348061,3.583518938,4.003690194,3.401197382,0.336472237,2.48490665,4.856706812,6.089044875,1
3.610917913,2.63905733,4.222444565,4.094344562,2.070653036,3.640214282,3.157000421,4.59511985,1
3.044522438,2.772588722,3.484312288,4.605170186,0.431782416,3.109060959,2.912350665,4.356708827,1
2.708050201,2.890371758,3.238678452,5.010635294,0.641853886,3.152736022,3.068052935,4.574710979,2
3.688879454,2.079441542,2.57261223,4.605170186,-0.274436846,2.48490665,2.809402695,3.970291914,1
2.302585093,2.197224577,3.206803244,3.912023005,-0.713349888,2.93385687,3.063390922,4.248495242,1
3.218875825,2.397895273,2.93385687,5.247024072,-0.210721031,2.76000994,3.095577609,4.127134385,1
3.761200116,3.044522438,2.901421594,4.605170186,0.039220713,2.960105096,3.068052935,4.219507705,1
3.36729583,3.258096538,3.758871826,6.745236349,0.708035793,2.944438979,3.804437795,4.753590191,1
2.772588722,3.091042453,3.387774361,4.248495242,0.019802627,3.443618098,3.04927304,4.59511985,1
3.401197382,3.737669618,4.297285406,5.768320996,0.246860078,3.555348061,4.313480092,5.33753808,2
2.995732274,4.17438727,3.985273467,7.299797367,0.542324291,3.708682081,3.696351469,5.003946306,2
3.496507561,3.218875825,4.094344562,4.86753445,0.113328685,3.186352633,4.639571613,5.568344504,1
2.48490665,2.708050201,3.254242969,4.49980967,1.011600912,2.980618636,3.025291076,4.48863637,2
2.63905733,4.465908119,4.526126979,4.094344562,1.17557333,4.099332104,3.42751469,4.762173935,4
2.48490665,2.63905733,3.250374492,4.382026635,0.672944473,2.954910279,2.646174797,4.394449155,1
3.433987204,2.63905733,3.835141961,4.248495242,0.698134722,3.63758616,2.406945108,3.761200116,1
2.772588722,3.044522438,3.443618098,3.912023005,-0.139262067,3.605497845,2.901421594,4.406719247,1
3.044522438,2.944438979,3.443618098,3.688879454,0.21511138,3.718438256,2.867898902,4.553876892,1
3.044522438,2.833213344,3.169685581,4.094344562,0.425267735,3.299533728,3.42751469,4.983606622,1
3.784189634,3.091042453,3.55820113,3.688879454,1.01523068,3.856510295,3.161246712,5.123963979,1
2.890371758,4.430816799,3.968403339,7.333023014,1.662030363,3.923951576,2.517696473,4.691347882,1
3.33220451,2.833213344,3.706228092,4.248495242,0.2390169,3.63758616,3.310543013,4.795790546,1
2.944438979,2.48490665,3.303216973,6.522092798,-0.186329578,2.839078464,3.230804396,4.430816799,1
3.737669618,2.890371758,3.618993327,5.886104031,0.615185639,3.218875825,3.157000421,4.890349128,2
2.397895273,2.944438979,3.555348061,7.237059026,0.113328685,2.76000994,2.617395833,4.477336814,1
3.526360525,2.833213344,3.779633817,5.480638923,0.727548607,3.608211551,3.218875825,4.65396035,1
3.465735903,2.995732274,3.723280881,7.244227516,0.131028262,2.803360381,2.624668592,4.343805422,1
2.397895273,2.48490665,3.88567903,6.01615716,0.21511138,2.517696473,2.602689685,4.290459441,1
2.302585093,3.044522438,3.62700405,6.253828812,0.067658648,2.815408719,2.48490665,4.394449155,1
2.079441542,4.672828834,3.975936331,8.080237416,0.841567186,4.120661871,2.766319109,4.430816799,1
2.63905733,3.401197382,3.597312261,5.768320996,-0.371063681,3.583518938,2.821378886,4.356708827,2
3.688879454,2.772588722,3.360375387,5.560681631,0.412109651,3.269568939,3.0301337,4.912654886,1
2.772588722,2.397895273,3.456316681,3.912023005,0.277631737,3.198673118,3.122364924,4.615120517,1
1.791759469,2.833213344,2.76000994,3.912023005,2.442347035,3.380994674,2.379546134,4.48863637,1
2.995732274,2.708050201,3.39785848,4.941642423,0.802001585,3.242592351,3.238678452,4.779123493,1
2.397895273,2.833213344,2.48490665,4.941642423,0.029558802,2.965273066,2.912350665,4.795790546,1
3.583518938,4.094344562,3.624340933,3.912023005,0.620576488,2.912350665,3.277144733,5.075173815,1
3.218875825,3.496507561,3.417726684,3.912023005,0.39877612,2.63905733,3.131136911,4.521788577,1
3.218875825,2.197224577,2.58021683,5.135798437,-0.15082289,1.916922612,2.4765384,4.454347296,1
2.63905733,2.197224577,2.708050201,4.787491743,0.357674444,2.721295428,2.856470206,4.510859507,1
3.258096538,3.688879454,3.414442608,4.248495242,1.286474026,3.668676747,4.498697941,5.613128106,1
2.772588722,2.890371758,3.126760536,4.49980967,-0.15082289,3.126760536,2.63188884,4.025351691,2
3.091042453,3.091042453,3.08190997,4.094344562,1.241268589,2.797281335,3.735285827,4.624972813,1
0.412109651,2.718000532,3.219675505,2.302585093,1.166270937,2.941276088,2.778819272,4.08142817,3
2.48490665,3.80666249,3.975936331,3.688879454,0.609765572,3.972176928,2.87356464,4.510859507,1
2.079441542,3.044522438,3.025291076,3.688879454,2.05796251,3.411147713,2.370243741,4.276666119,2
2.890371758,2.63905733,3.430756184,2.995732274,0.412109651,3.310543013,3.234749174,4.663439094,3
2.63905733,2.772588722,2.990719732,7.757906208,1.244154594,3.095577609,3.478158423,4.718498871,1
2.48490665,3.33220451,4.019980147,4.382026635,0.223143551,3.686376324,2.93385687,4.477336814,1
